登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因,網站連結
054法登000010,1,1,莫德融,237,0540225,0540305,0540305,17冊3頁,,,各董事,財團法人中華民國國貨舘,0540305,台北市西寧南路62號國貨大樓5樓,本舘以提倡國貨，加强宣傳，拓展外銷，改進品質，陳列新產品，及有關服務事宜為目的。,由台灣水泥公司及四十八年國產商品展覽會等共同捐助,經濟部中華民國49年8月10日經台(49)商字第11032號代電,永久,5659680.00,1,0540305,0541228,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Lga3uJVI4KECqxLaOmpSDsuOa-Wp4-po77JRCedpuhxZsinXas2B-Dg=
054法登000016,1,2,莫德融,38,0540412,0540422,0540422,3冊21頁,1,1,袁夢鴻,財團法人台灣糖業協會,0450523,台北市寶慶路25號台灣糖業股份有限公司,本會以舉辦員工福利事業並協助發展糖業為目的。,繼受原財團法人武智紀念財團所有財產,經濟部中華民國45年4月4日經台(45)營字第03146號令,永久,428023.82,1,0540422,0541228,,,,,,,,,,,,本會董事楊乃藩改聘為監事、董事雷寳華原任臺灣糖業公司總經理奉准退休、董事黃朝全因原任職務變更，經依據本會捐助章程第4條之規定改聘楊博清、袁夢鴻、陳永為董事，經以(53)10月23日北祕956021號及(54)3月24日北祕字第232013號文呈奉經濟部經台(53)營字第18795號及經台(54)公企字第06623號令核准。另原監事袁錫瑀退休、袁同疇因職務變更，改聘陳鎮原、楊乃藩充任。,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/SK_9wO-sqpCMCpgHtcW6mBghFJkjNBFTuCzs-7_zyckmvD0COu0DJg==
054法登000021,1,2,莫德融,197,0540513,0540522,0540522,14冊13頁,2,,各董事,財團法人中華資料處理中心,0521011,台北市羅斯福路1段1號,本中心以介紹最新資料處理技能、訓練運用自動機器處理資料技術人才，接受委託代辦統計及帳務等資料處理工作，藉以配合政府政策發展政府所定事業，增加管理效能，改善公共行政為目的。,由行政院美援運用委員會捐助,經濟部中華民國52年9月25日經台(52)統字第14136號通知,永久,1000000.00,1,0540522,0541228,,,,,,,,,,,,本中心第19次董事會決議修改章程第5條、第6條、第7條、第8條及第14條條文（修正條文如附件三）並改聘董事長、增聘常務董事2人於54年4月6日呈報主管官署業經經濟部經臺(54)商字第08688號通知許可在案。,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/TivbzOmSu6tKfEfXYTkSZD7dg9YVKOyKgy0E5Wltz9EsSNtZ8N2ReWY=
054法登000047,1,2,莫德融,50,0541228,0541230,0541230,4冊15頁,2,2,陸翰芩,財團法人台灣省台北市中國基督教靈糧世界佈道會台北靈糧堂,0460813,台北市和平東路2段24號,本堂宗旨為：「往普天下去傳福音給萬民聽」（馬可福音十六章十五節）並建立教會。,信徒奉獻,臺灣省臺北市政府中華民國46年7月24日(46)北市社組字第43643號通知,永久,1416000.00,1,0541230,0551228,,,,,,,,,,,,"（本會董事依組織章程第8條任期3年業已屆滿，具董事盛關頤病故應予改選，本堂名稱未合規定應予更正並更換印章，至於組織章程第6條、第7條兩條規定中國基督教靈糧世界佈道會會長即創辦人為當然董事並兼任董事長已不合需要，經於民國54年8月30日開會修改章程並推選趙世光、陸翰芩、張德為董事，經董事互推陸翰芩為董事長，又本會信徒捐贈購買土地2筆，一為坐落大安區龍安坡段332之1地號土地31坪計新臺幣6萬5,000元，一為坐落大安區龍安坡段546之6地號土地63坪991計新臺幣5萬1,000元經於54年10月7日呈奉臺北市政府54年11月23日54.11.23.府民行字第54608號通知准予備查在案。）
財產總額計新臺幣141萬6,000元。
組織章程第6條條文修正為「本堂設董事會由董事3人組織之董事3人由本堂執事中選任之」、第7條條文修正為本堂「董事會設董事1人由董事互推繼理本堂一切聖工執行董事會議決對外代表本堂」。
新印模文曰「財團法人台灣省台北市中國基督教靈糧世界佈道會台北靈糧堂」。",,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/nQNrJsw4HN_7sHqjsBePVfRH43qPlnJv05qhIQdwrZVy0lxE7PE8dA==
054法登000214,1,1,林貴美,214,0540522,0540522,0540522,15冊17頁,,0,梅恕曾,財團法人中華民國工藝協會工藝品發展中心,0540522,台北市衡陽街一三二號二樓,期能持外從事發展工藝品促進外銷起見為目的。,捐贈,中華民國五十三牛四月四日,永久,0.00,1,0540522,0540522,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/k61ZLk0k_zr_YqmwfwV6dJmJiDfUHKeEIqo4EL7TtzwfVI0qx3U_hbo=
054法登000233,1,1,林貴美,233,0540120,0540120,0540120,16冊25頁,,0,"蕭  錚",財團法人台灣農產品外銷市場研究中心,0540120,台北市襄陽路二十五號,"本中心以研究台灣農產品及農產加工品之國際市場藉資引導增產促進輸出為目 的。",捐助,中華民國五十三年十一月十七日,無限期,1000000.00,1,0540120,0540120,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/EOjvtJnfFaN9Cdaf4xNf7bIB4WSywqbF2muxnUrlVgB8u6JeLvuASFg=
054法登000234,1,1,林貴美,234,0540120,0540120,0540120,16冊27頁,,0,倪恭獻,財團法人台灣省天主教道明傳教修女會,0540120,台北市寧夏路五十九號,以傳佈天主教美辦理慈善救濟及教育事業為目的。,捐助,台灣省政府中華民國五十四年十月九日府民一字二一六一號通知,無限期,0.00,1,0540120,0540120,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/go6OX4NuziYxkCj8ouZM1ta0LZczJabFqLDkSVypffImfq6IX5bGB6Q=
054法登000235,1,1,林貴美,235,0540222,0540222,0540222,16冊29頁,,0,蔡阿仕,財團法人台灣省台北市私立文道紀念圖書館董事會,0540222,台北市承德路七十六號,為創辦私立文道紀念圖書館為謀其發展為目的。,捐助,中華民國五十三年十二月十日,永久,142400.00,1,0540222,0540222,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/sEIrcUrLljpqIiBGbPDO7FYZ6sUaGj1jftfQz-e-Qf7DztA9_Yl6_4s=
054法登000236,1,1,林貴美,236,0540222,0540222,0540222,17冊1頁,,0,"林  燈",財團法人林添禎先生遺屬生活及教育費保管會,0540222,台北市中華路四九號,為保管捐助林添禎先生所得之捐教暨以其孳息充為林添禎先生父母與其配偶子女之生活費用及子女教育費用。,社會人士捐助,中華民國五十三年九月十五日,無定期,564255.00,1,0540222,0540222,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/N3xxgKAiljZYKbYgOe0nkdDM7dZI1yxIGAGv0ZDOR2Ukx2GcvdH61OA=
054法登000237,1,1,林貴美,237,0540302,0540305,0540305,17冊3頁,,0,東雲章,財團法人中華民國國貸館,0540305,台北市西寧南路六十二號國貸大樓五樓,以提倡國貸如法室傳拓展外銷改進品質陳列新產品及有關服務事宜為目的。,捐助,中華民國四十九年八月一日,永久,5659680.00,1,0540302,0540302,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/99uXs-M49c97flpggISEpmoP0q4DqsFGk-Ym2j_QWth7varJ7r3NZ0k=
054法登000241,1,1,林貴美,241,0540331,0540331,0540331,17冊11頁,,0,蔡萬春,財團法人台北市私立十信高級工商職學校,0540331,台北市衡陽路八十七號,為協助政府發展教育。,台北市第十信用合作社所撥之十信商職建校基金運營,中華民國五十四年三月二十四日,永久,41735506.00,1,0540331,0540331,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/af54nGFNe7P24p7A4EEG8hMKREuNnNYTW3paUWy8Z5s-ZIQHWUMtaEE=
054法登000244,1,1,林貴美,244,0540713,0540713,0540713,17冊17頁,,0,佩斯．佩達,財團法人美國國際企業管理服務團台灣分團,0540713,台北市博愛路一五二號,主要為提供企業管理及技術人員之服務。,捐助,中華民國五十四年六月十八日,無限期,2244440.00,1,0540413,0540413,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Vbi4cKoOGOd230WjkyORkzjmkmv82hpP6FqalYxFFABlANbYVrqIDMg=
054法登000245,1,1,林貴美,245,0540909,0540909,0540909,17冊19頁,,0,蔡培火,財團法人私立淡水工商管理專科學校,0540909,台北縣淡水鎮真理街三十四號,為法持管私立淡水工商管理專科學校為目的。,由台灣基督,中華民國五十四年六月十日,,0.00,1,0540909,0540909,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/K5WisbKFE1bKQj0uVjXc-LRhYuAIWHGIHqq-iwd1Ojs-PUjKYAnDEL0=
054法登000246,1,1,林貴美,246,0540909,0540909,0540909,17冊21頁,,0,成世充,財團法人台灣省台北縣私立徐匯中學,0540909,台北市新生南路二段五十號,創設學校院事教育完成法人登記並謀其發展。,捐助,中華民國五十二年八月十二日,永久,8018000.00,1,0540909,0540909,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/KwaUPRY8LHfbGFSG69Ccj92trNb8JoQbK184YtzpQe_I4J2c3811rwg=
