登記案號,序號,職稱,姓名
055法登他000001,1,董事長,陳鶴齡
055法登他000001,2,"董  事",徐晨光
055法登他000001,3,"董  事",官步遙
055法登他000001,4,"董  事",薛守忠
055法登他000001,5,"董  事",文恩生
055法登他000002,1,董事長,吳博滿
055法登他000002,2,"董  事",蔣復璁
055法登他000002,3,"董  事",關吉玉
055法登他000002,4,"董  事",王永興
055法登他000002,5,"董  事",布培信
055法登他000002,6,"董  事",黃聲遠
055法登他000002,7,"董  事",孫連仲
055法登他000002,8,"董  事",趙雅博
055法登他000002,9,"董  事",蔡任渙
055法登他000002,10,"董  事",李貴良
055法登他000002,11,"董  事","鄭  鵠"
055法登他000002,12,"董  事",許添枝
055法登他000002,13,"董  事",李光達
055法登財000001,1,董事長,何崇蘇
055法登財000001,2,"董  事",周立道
055法登財000001,3,"董  事",吳務光
055法登財000001,4,"董  事",曹國霖
055法登財000002,1,董事長,陳瑞山
055法登財000002,2,"董  事",胡文池
055法登財000002,3,"董  事",駱先春
055法登財000002,4,"董  事",林川明
055法登財000002,5,"董  事",張清庚
055法登財000002,6,"董  事",高俊明
055法登財000002,7,"董  事",蔡天數
055法登財000002,8,"董  事",莊敬虔
055法登財000002,9,"董  事",梁朝明
