登記案號,序號,職稱,姓名
068法登000001,1,董事長,何淑雅
068法登000001,2,"董  事",辛麗莉
068法登000001,3,"董  事",辜甫德
068法登000002,1,董事長,"洪  華"
068法登000002,2,常務董事,江新發
068法登000002,3,常務董事,李傳芳
068法登000002,4,常務董事,王慶豐
068法登000002,5,常務董事,黃清湜
068法登000002,6,"董  事",蔡啟東
068法登000002,7,"董  事",曾金木
068法登000002,8,"董  事",陳木順
068法登000002,9,"董  事",張新喜
068法登000002,10,"董  事",羅運寶
068法登000002,11,"董  事","丁  利"
068法登000002,12,"董  事",黃新發
068法登000002,13,"董  事",陳鐘相
068法登000002,14,"董  事",陳寶琛
068法登000002,15,"董  事",廖世田
068法登000003,1,董事長,張烈堂
068法登000003,2,"董  事",張翁玉英
068法登000003,3,"董  事",管國屏
068法登000003,4,"董  事",劉金明
068法登000003,5,"董  事",劉欽賢
068法登000003,6,"董  事",劉欽標
068法登000003,7,"董  事",李衍長
068法登000003,8,"董  事",李清木
068法登000003,9,"董  事",張克敏
068法登000003,10,"董  事",陳兆弘
068法登000003,11,"董  事",黃欣明
068法登000003,12,"董  事",孫鴻圖
068法登000003,13,"董  事",孫鴻皭
068法登000003,14,"董  事",王心明
068法登000003,15,"董  事",李向震
068法登000004,1,董事長,陳金魚
068法登000004,2,常務董事,"林  乾"
068法登000004,3,常務董事,藍祥崑
068法登000004,4,"董  事",何阿土
068法登000004,5,"董  事",林金財
068法登000004,6,"董  事","黃  旺"
068法登000004,7,"董  事",林水土
068法登000004,8,"董  事",莊茂林
068法登000004,9,"董  事",游桐成
068法登000005,1,董事長,林朝庚
068法登000005,2,"董  事",康德興
068法登000005,3,"董  事",畢聯中
068法登000005,4,"董  事",陳侃
068法登000005,5,"董  事",石常輝
068法登000005,6,"董  事",林坤鐘
068法登000005,7,"董  事",張升昌
068法登000005,8,"董  事",葉鳴岡
068法登000005,9,"董  事",朱金山
