登記案號,序號,職稱,姓名
077法登000002,1,董事長,李協德
077法登000002,2,"董  事",李新發
077法登000002,3,"董  事",袁慶西
077法登000002,4,"董  事",鄭雪霞
077法登000002,5,"董  事",陳惠琴
077法登000002,6,"董  事",張萬得
077法登000002,7,"董  事",楊雅婷
077法登000007,1,理事長,王文霖
077法登000007,2,常務理事,王炳元
077法登000007,3,常務理事,王江漢
077法登000007,4,常務理事,王國忠
077法登000007,5,常務理事,王仲居
077法登000007,6,常務理事,王文良
077法登000007,7,常務理事,王水柳
077法登000007,8,"理  事",王天火
077法登000007,9,"理  事","王  令"
077法登000007,10,"理  事",王秋榮
077法登000007,11,"理  事",王朝棟
077法登000007,12,"理  事",王諸齊
077法登000007,13,"理  事",王北川
077法登000007,14,"理  事",王天錫
077法登000007,15,"理  事",王金連
077法登000007,16,"理  事",王添祿
077法登000007,17,"理  事",王進春
077法登000007,18,"理  事",王旭修
077法登000007,19,"理  事",王朝元
077法登000007,20,"理  事",王仲遠
077法登000007,21,"理  事",王清池
077法登000007,22,"理  事",王水乞
077法登000007,23,"理  事",王淵明
077法登000007,24,"理  事",王賜勇
077法登000007,25,"理  事",王博信
077法登000007,26,常務監事,王添丁
077法登000007,27,"監  事",王人瑞
077法登000007,28,"監  事",王阿薰
077法登000007,29,"監  事",王註傳
077法登000007,30,"監  事",王其昌
077法登000007,31,"監  事",王壬猛
077法登000007,32,"監  事",王友笙
077法登000011,1,董事長,羅俊男
077法登000011,2,"董  事",劉侃如
077法登000011,3,"董  事",廖正宏
077法登000011,4,"董  事",林瑞雄
077法登000011,5,"董  事",陳昭郎
077法登000011,6,"董  事",曾玉琴
077法登000011,7,"董  事",高偉華
077法登000013,1,董事長,鄒濟勳
077法登000013,2,常務董事,彭芳谷
077法登000013,3,常務董事,羅光瑞
077法登000013,4,常務董事,鄭德齡
077法登000013,5,常務董事,"馬  擢"
077法登000013,6,"董  事","張  遵"
077法登000013,7,"董  事",金鏗年
077法登000013,8,"董  事",張心湜
077法登000013,9,"董  事",劉榮宏
077法登000013,10,"董  事",吳香達
077法登000013,11,"董  事",彭瑞鵬
077法登000013,12,"董  事",楊大中
077法登000013,13,"董  事",王丕延
077法登000013,14,"董  事",葉慶瀾
077法登000013,15,"董  事",何師竹
077法登000015,1,董事長,郭石吉
077法登000015,2,副董事長,"何  猛"
077法登000015,3,常務董事,何石定
077法登000015,4,"董  事",郭進德
077法登000015,5,"董  事",曹賜安
077法登000015,6,"董  事",郭金祥
077法登000015,7,"董  事",郭萬福
077法登000015,8,"董  事",曾順興
077法登000015,9,"董  事",林清井
077法登000015,10,"董  事",鄭楊豆
077法登000015,11,"董  事",林清井
