登記案號,序號,職稱,姓名
078法登000001,1,董事長,陳碧玉
078法登000001,2,"董  事",郭英珠
078法登000001,3,"董  事",陳碧山
078法登000001,4,"董  事",林永炫
078法登000001,5,"董  事",高秀美
078法登000001,6,"董  事",陳國男
078法登000001,7,"董  事",陳景村
078法登000001,8,"董  事",陳來旺
078法登000001,9,"董  事",黃清安
078法登000001,10,"董  事",黃清嶺
078法登000001,11,"董  事",陳樹向
078法登000001,12,"董  事",梁火慶
078法登000001,13,"董  事",林熙城
078法登000002,1,董事長,王黃蕋
078法登000002,2,"董  事",王朝慶
078法登000002,3,"董  事",王朝璋
078法登000002,4,"董  事",王興業
078法登000002,5,"董  事",王宗錢
078法登000002,6,"董  事",蔡憲忠
078法登000002,7,"董  事",林瑞昌
078法登000003,1,董事長,林　森
078法登000003,2,"董  事",賴樹旺
078法登000003,3,"董  事",楊金豹
078法登000003,4,"董  事",黃明和
078法登000003,5,"董  事",張日東
078法登000003,6,"董  事",柯木華
078法登000003,7,"董  事",王乙鯨
078法登000003,8,"董  事",鄭成章
078法登000003,9,"董  事",林榮祿
078法登000003,10,"董  事",王福入
078法登000003,11,"董  事",張富雄
078法登000003,12,"董  事",張許碧梧
078法登000003,13,"董  事",林燦生
078法登000003,14,"董  事",楊志宗
078法登000003,15,"董  事",柯世昌
078法登000004,1,董事長,瑪喜樂
078法登000004,2,"董  事",周神彬
078法登000004,3,"董  事",陳儀惠
078法登000004,4,"董  事",黃明輝
078法登000004,5,"董  事",蔡陽昆
078法登000004,6,"董  事",楊明賢
078法登000004,7,"董  事",陳存照
078法登000005,1,董事長,陳鐵獅
078法登000005,2,董　事,張霈華
078法登000005,3,董　事,劉阿聰
078法登000005,4,董　事,賴裕鐘
078法登000005,5,"董  事",蔡江海
078法登000005,6,"董  事",蔡金章
078法登000005,7,"董  事",郭偉傑
078法登000005,8,"董  事",蔡　玲
078法登000005,9,"董  事",李俊良
078法登000005,10,"董  事",葉明裕
078法登000005,11,"董  事",楊振陽
078法登000005,12,"董  事",洪宗鄰
078法登000005,13,"董  事",楊漢銘
078法登000007,1,董事長,丘俊明
078法登000007,2,"董  事","邱  寬"
078法登000007,3,"董  事",邱鎮江
078法登000007,4,"董  事",邱昭澤
078法登000007,5,"董  事","邱  脇"
078法登000007,6,"董  事",邱沛澤
078法登000007,7,"董  事",邱銅壠
078法登000007,8,"董  事",邱松柏
078法登000007,9,"董  事",邱傳裕
078法登000007,10,"董  事",邱文壹
078法登000007,11,"董  事",邱世英
078法登000007,12,"董  事",邱武華
078法登000007,13,"董  事",邱克仁
078法登000007,14,"董  事",邱煥火
078法登000008,1,董事長,林瑞呈
078法登000008,2,"董  事",林世才
078法登000008,3,"董  事",林昭庚
078法登000008,4,"董  事",陳德豐
078法登000008,5,"董  事",洪文雄
078法登000009,1,董事長,葉松根
078法登000009,2,"董  事",劉水深
078法登000009,3,"董  事",黃正雄
078法登000009,4,"董  事",張世良
078法登000009,5,"董  事",賴士葆
078法登000009,6,"董  事",葉林月昭
078法登000009,7,"董  事",賴水川
078法登000009,8,"董  事",葉忠興
078法登000009,9,"董  事",謝安田
078法登000010,1,董事長,"詹  悟"
078法登000010,2,"董  事",李時中
078法登000010,3,"董  事",陳其茂
078法登000010,4,"董  事",侯保民
078法登000010,5,"董  事",蔡松齡
078法登000012,1,董事長,葉松根
078法登000012,2,"董  事",葉林月昭
078法登000012,3,"董  事",葉釋仁
078法登000012,4,"董  事",葉育恩
078法登000012,5,"董  事",葉忠興
078法登000012,6,"董  事",謝安田
078法登000012,7,"董  事",謝安田
078法登000012,8,"董  事",劉水深
078法登000012,9,"董  事",賴士葆
078法登000012,10,"董  事",黃營杉
078法登000012,11,"董  事",賴士葆
078法登000012,12,"董  事",黃正雄
078法登000012,13,"董  事",賴鴻森
078法登000012,14,"董  事",張世良
078法登000012,15,"董  事",張世良
078法登000012,16,"董  事",賴永川
078法登000013,1,董事長,瑪喜樂
078法登000013,2,"董  事",周神彬
078法登000013,3,"董  事",陳儀惠
078法登000013,4,"董  事",黃明輝
078法登000013,5,"董  事",蔡陽昆
078法登000013,6,"董  事",楊明賢
078法登000013,7,"董  事",楊太平
078法登000014,1,董事長,吳聯星
078法登000014,2,"董  事",許文富
078法登000014,3,董　事,黃文堯
078法登000014,4,"董  事",馬繼先
078法登000014,5,"董  事",尤水永
078法登000014,6,"董  事",洪祖昌
078法登000014,7,"董  事",吳聯樹
078法登000014,8,"董  事",徐佳銘
078法登000014,9,"董  事",陳提東
078法登000016,1,董事長,李鍾桂
078法登000016,2,"董  事",高銘輝
078法登000016,3,"董  事",梁尚藩
078法登000016,4,"董  事",郭婉容
078法登000016,5,"董  事",張國安
078法登000016,6,"董  事",林豐正
078法登000016,7,"董  事",謝又華
078法登000016,8,"董  事",吳挽瀾
078法登000016,9,"董  事",王生年
078法登000016,10,"董  事",司徒明
078法登000017,1,董事長,陳碧玉
078法登000017,2,常務董事,郭英珠
078法登000017,3,常務董事,陳碧山
078法登000017,4,"董  事",林永炫
078法登000017,5,"董  事",高秀美
078法登000017,6,"董  事",陳國男
078法登000017,7,"董  事",陳景村
078法登000017,8,"董  事",陳來旺
078法登000017,9,"董  事",黃清安
078法登000017,10,"董  事",黃清嶺
078法登000017,11,"董  事",陳樹向
078法登000017,12,"董  事",梁火慶
078法登000017,13,"董  事",林𤋮城
078法登000017,14,"董  事",陳玫美
078法登000018,1,董事長,莊國龍
078法登000018,2,董　事,吳福生
078法登000018,3,董　事,林大野
078法登000018,4,董　事,黃麗津
078法登000018,5,"董  事",林伍倫
078法登000018,6,"董  事",陳明維
078法登000018,7,"董  事",莊國標
078法登000018,8,"董  事",程明哲
078法登000018,9,"董  事",魏美容
078法登000019,1,董事長,吳其鑑
078法登000019,2,"董  事",廖大𥐵
078法登000019,3,"董  事",蔡幼糊
078法登000019,4,"董  事",巫瑞村
078法登000019,5,"董  事","鄭  輝"
078法登000019,6,"董  事",賴新萬
078法登000019,7,"董  事",高餘崎
078法登000019,8,"董  事",高森茂
078法登000019,9,"董  事",蘇昭夫
078法登000019,10,"董  事",何錦宗
078法登000019,11,"董  事",劉永木
078法登000019,12,"董  事",吳汶慶
078法登000019,13,"董  事",黃勝法
078法登000020,1,董事長,王吉榮
078法登000020,2,常務理事,"張  健"
078法登000020,3,常務理事,張火炎
078法登000020,4,常務理事,賴嘉勇
078法登000020,5,常務理事,謝言信
078法登000020,6,理　事,張榮昌
078法登000020,7,"理  事",柯塗火
078法登000020,8,"理  事",洪庚申
078法登000020,9,"理  事",毛仕彥
078法登000020,10,"理  事",林明雄
078法登000020,11,"理  事",蕭錫顯
078法登000020,12,"理  事",南同喜
078法登000020,13,"理  事",王家祺
078法登000020,14,"理  事",李耀東
078法登000020,15,"理  事",羅坤城
078法登000020,16,常務監事,林振輝
078法登000020,17,"監  事",鐘上達
078法登000020,18,"監  事",謝拱樞
078法登000020,19,"監  事",李俊賢
078法登000020,20,"監  事",蔡忠彥
078法登000021,1,董事長,巫瑞村
078法登000021,2,"董  事",陳家政
078法登000021,3,"董  事",陳光鈾
078法登000021,4,"董  事",陳嘉遊
078法登000021,5,"董  事",林富基
078法登000021,6,"董  事",陳宗漢
078法登000021,7,"董  事",巫喜垂
078法登000021,8,"董  事",李清溪
078法登000021,9,"董  事",蔡英孝
078法登000021,10,"董  事",陳峻松
078法登000021,11,"董  事",楊基林
078法登000021,12,"董  事",王志誠
078法登000021,13,"董  事",陳錦諒
078法登000021,14,監察人,邱西川
078法登000021,15,監察人,陳俊宏
