登記案號,序號,職稱,姓名
079法登000012,1,董事長,陳鴻洲
079法登000012,2,"董  事",陳世允
079法登000012,3,"董  事",江屘菊
079法登000012,4,"董  事",詹宏欽
079法登000012,5,"董  事",林堅增
079法登000012,6,"董  事",劉明章
079法登000012,7,"董  事",黃蘭芬
079法登000220,1,董事長,童勝男
079法登000220,2,"董  事",楊金木
079法登000220,3,"董  事",李伯元
079法登000220,4,"董  事",吳東進
079法登000220,5,"董  事",林燈
079法登000220,6,"董  事",王榮昌
079法登000220,7,"董  事",龐賡武
079法登000220,8,"董  事",詹宣勇
079法登000220,9,"董  事",蔡建豐
079法登000220,10,"董  事",蔡兆章
079法登000220,11,"董  事",林垂宙
079法登000220,12,"董  事",顏秉棋
079法登000220,13,"董  事",林朝夫
079法登000220,14,"董  事",林松
079法登000221,1,董事長,陳肇雲
079法登000221,2,常務董事,鄭勝陽
079法登000221,3,常務董事,黃平福
079法登000221,4,"董  事",戴瑞坤
079法登000221,5,"董  事",賴茂原
079法登000221,6,"董  事",江錦祥
079法登000221,7,"董  事",翁吉輝
079法登000221,8,"董  事",邱瑞興
079法登000221,9,"董  事",蔡慶堂
079法登000221,10,"董  事",林品玲
079法登000221,11,"董  事",廖欽賢
079法登000222,1,董事長,魏火曜
079法登000222,2,副董事長,林國信
079法登000222,3,"董  事",吳伯雄
079法登000222,4,"董  事",李悌元
079法登000222,5,"董  事",楊思標
079法登000222,6,"董  事",羅光瑞
079法登000222,7,"董  事",葉光
079法登000222,8,"董  事",劉宗麒
079法登000222,9,"董  事",張菊生
079法登他000010,1,董事長,鄭再傳
079法登他000010,2,"董  事",鄭興家
079法登他000010,3,"董  事",鄭隆家
079法登他000015,1,董事長,徐河東
079法登他000015,2,"董  事",黃德萬
079法登他000015,3,"董  事",徐進全
079法登他000015,4,"董  事",徐金和
079法登他000015,5,"董  事",沈古左
079法登他000015,6,"董  事",高雲漢
079法登他000015,7,"董  事",湯阿明
079法登他000015,8,"董  事",陳壂全
079法登他000015,9,"董  事",呂田瑞
079法登他000015,10,"董  事",古增城
079法登他000015,11,"董  事",徐石有
