登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
080法登000001,1,2,李添興,205,0800212,0800212,0800212,7冊62頁,2,5,王傳烈,財團法人臺灣省臺中市贊化堂,0601022,臺中市南區建成路一０二巷十一號,遵行政府頒佈之寺廟管理條例，改進健全信仰，力求改善民俗，發揚國粹，提倡民間正當娛樂，宣揚教義提倡國民道德，善導濟世救眾，敦睦信徒，促進互助精神，興辦公益慈善事業，促進社會福利，設立臺灣省臺中市贊化堂。,信徒自由捐助,"臺中市政府     中華民國六十年九月十七日",永　久,221430.00,1,0921218,,,,,,,,,,,,,,,,,
080法登000006,1,1,謝怜聰,445,0800212,0800212,0800212,13冊26頁,,0,董事長,財團法人明道文教基金會,0800212,臺中縣烏日鄉中山路四九七號,振興教育，服務社會。,由明道中學捐助,"臺中縣政府        中華民國七十九年十二月十九日","永  久",2000000.00,1,0921218,,,,,,,,,,,,,,,,,
080法登000008,1,1,謝怜聰,443,0800125,0800129,0800130,13冊24頁,,0,楊天生,財團法人波錠文教基金會,0800129,臺中市五權路二之三號,發揚中華文化、推動社會教育為宗旨。,由東華營造、長億實業、長生工程顧問、長璽投資、長廣投資等公司捐助。,"臺灣省政府教育廳   中華民國八十年元月二日","永   久",5000000.00,1,0850923,,,,,,,,,,,,,,,,,
080法登000009,1,1,謝怜聰,442,0800117,0800117,0800117,13冊23頁,,0,董事長,財團法人天主教上智文教基金會,0800117,臺中市北區衛道路一八七號,以發揚志願服務精神，培訓社會領導者與增進社會福利，促進人性發展等文化教育公益為宗旨。,由天主教社會服務研究院捐助。,"臺灣省政府教育廳  中華民國七十九年十二月二十七日",永久,6000000.00,1,0921218,,,,,,,,,,,,,,,,,
080法登000010,1,1,謝怜聰,444,0800206,0800206,0800206,13冊25頁,,0,董事長,財團法人臺中縣文化建設基金會,0800206,臺中縣豐原市圓環東路七八二號,宏揚中華文化，提昇生活素質為宗旨,由文建會捐助,臺中縣政府　　中華民國七十九年十二月十日,永久,10000000.00,1,0921218,,,,,,,,,,,,,,,,,
080法登000014,1,1,謝怜聰,446,0800305,0800305,0800305,13冊27頁,,0,董事長,財團法人臺灣省私立維他露社會福利慈善事業基金會,0800305,臺中市西屯區協和里工業區九路二十六號,以舉辦社會福利慈善事業為宗旨,由維他露食品股份有限公司等捐助,"臺灣省政府社會處       中華民國八十年一月十五日","永  久",57000000.00,1,0921218,,,,,,,,,,,,,,,,,
080法登000019,1,1,謝怜聰,444,0800206,0800206,0800206,13冊25頁,,0,董事長,財團法人台中縣文化建設基金會,0800206,台中縣豐原市圓環東路七八二號,"宏揚中華文化,提昇生活素質為宗旨",由文建會捐助,七十九年十二月十日台中縣政府,永久,10000000.00,1,0921218,,,,,,,,,,,,,,,,,
080法登000023,1,1,謝怜聰,472,0801106,0801106,0801106,14冊4頁,,0,董事長,財團法人慈惠文教基金會,0801106,臺中縣太平鄉黃竹村德利巷三十一號,以傳播中華文化、啟發修身養性、奬助社會福祉為宗旨。,由蕭明火捐助,"臺灣省政府教育廳   中華民國八十年十月十七日",永　久,5067650.00,1,0930128,,,,,,,,,,,,,,,,,
080法登000026,1,1,謝怜聰,447,0800219,0800219,0800219,13冊28頁,,0,陳亭卿,財團法人臺中縣私立銀同碧湖陳氏社會福利基金會,0800219,臺中縣龍井鄉新興路一四四號,舉辦社會福利慈善事業為宗旨,由陳亭卿等捐助,臺中縣政府　中華民國八十年二月十九日,永　　久,3200000.00,1,0921218,,,,,,,,,,,,,,,,,
080法登000033,1,1,謝怜聰,451,0800220,0800223,0800224,13冊32頁,,0,張子源,財團法人中商校友文教基金會,0800223,臺中市三民路三段一二九號,響應政府推動文教活動，協助國立台中商專及校友會辦理各項文教活動為宗旨。,由張子源等捐助,臺灣省政府教育廳　　中華民國八十年二月二十三日,永　　久,5000000.00,1,0800223,,,,,,,,,,,,,,,,,
