登記案號,序號,職稱,姓名
092法登他000001,1,"董 事 長",吳春增
092法登他000001,2,常務董事,彭德來
092法登他000001,3,常務董事,蘇秋郎
092法登他000001,4,"董    事",宋仁生
092法登他000001,5,"董    事",張運財
092法登他000001,6,"董    事",李雙有
092法登他000001,7,"董    事",饒石喜
092法登他000001,8,"董    事",廖建琳
092法登他000001,9,"董    事",廖彭蘊鈺
092法登他000001,10,常務監事,謝東山
092法登他000001,11,"監  事",徐秀嬌
092法登他000001,12,"監  事",廖劉貴妹
092法登他000002,1,董事長,龍和順
092法登他000002,2,"董  事",林梅英
092法登他000002,3,"董  事",黃端儀
092法登他000002,4,"董  事",徐毓暄
092法登他000002,5,"董  事",林蓉津
092法登他000002,6,"董  事",徐秋芳
092法登他000002,7,"董  事",何秀慧
092法登他000002,8,"董  事",劉有忠
092法登他000002,9,"董  事",龍冠宇
092法登他000003,1,董事長,鄭佩香
092法登他000003,2,"董  事",周惠萍
092法登他000003,3,"董  事",高英媛
092法登他000003,4,"董  事",謝廣源
092法登他000003,5,"董  事",唐俐
092法登他000003,6,"董  事",車文華
092法登他000003,7,"董  事",陳美娟
092法登他000004,1,董事長,黃德泉
092法登他000004,2,董　事　,王正雄
092法登他000004,3,董　事,葉財益
092法登他000004,4,董　事,謝陸和
092法登他000004,5,董　事　,王銘國
092法登他000004,6,"董  事",廖啟翔
092法登他000004,7,"董  事",黃炅郎
092法登他000004,8,"董  事",葉秋芳
092法登他000004,9,"董  事",劉政鴻
092法登他000004,10,"董  事",吳家良　
092法登他000004,11,"董  事",游李玉珍
092法登他000004,12,"董  事",古文雄
092法登他000004,13,"董  事",彭金龍
092法登他000004,14,"董  事",吳春雄
092法登他000004,15,"董  事",張義盈
092法登他000004,16,"董  事",黃榮勳
092法登他000004,17,"董  事",陳忠本
092法登他000004,18,"董  事",張玉春
092法登他000004,19,"董  事",黃清雄
092法登他000005,1,董事長,張森木
092法登他000005,2,"董  事",劉庭亮
092法登他000005,3,"董  事",張年明
092法登他000005,4,"董  事",周世泰
092法登他000005,5,"董  事",沈以山
092法登他000005,6,"董  事",周木能
092法登他000005,7,"董  事",蔡清順
092法登他000006,1,董事長,吳得坤
092法登他000006,2,"董  事",陳盛煊
092法登他000006,3,"董  事",連智陸
092法登他000006,4,"董  事",李瞻良
092法登他000006,5,"董  事",周惠玉
092法登他000006,6,"董  事",郭侑欣
092法登他000006,7,"董  事",林守仁
092法登他000006,8,"董  事",郭至銘
092法登他000006,9,"董  事",高信永
092法登他000007,1,董事長,許兩傳
092法登他000007,2,"董  事",林達鈞
092法登他000007,3,"董  事",黃夏權
092法登他000007,4,"董  事",周雨詩
092法登他000007,5,"董  事",李安邦
092法登他000007,6,"董  事",楊秋和
092法登他000007,7,"董  事",駱萍華
092法登他000007,8,"董  事",蔡之雲
092法登他000007,9,"董  事",林佳樺
092法登他000008,1,理事長,張香蘭
092法登他000008,2,常務理事,吳碧珠
092法登他000008,3,常務理事,林鳳嬌
092法登他000008,4,"理  事",張春梅
092法登他000008,5,"理  事",黃兒玉
092法登他000008,6,"理  事",吳秀英
092法登他000008,7,"理  事",游玉妹
092法登他000008,8,"理  事",陳美秀
092法登他000008,9,"理  事",陳豐珍
092法登他000008,10,常務監事,鄧立和
092法登他000008,11,"監  事",謝連嬌
092法登他000008,12,"監  事",邱英雄
092法登他000009,1,理事長,張瑞璘
092法登他000009,2,常務理事,王志郎
092法登他000009,3,常務理事,何恭燕
092法登他000009,4,常務理事,田秀菊
092法登他000009,5,常務理事,鄭勝田
092法登他000009,6,"理  事",林建春
092法登他000009,7,"理  事",徐定禎
092法登他000009,8,"理  事",劉萬基
092法登他000009,9,"理  事",陳彥俊
092法登他000009,10,"理  事",吳秋仁
092法登他000009,11,"理  事",張志恆
092法登他000009,12,"理  事",方春美
092法登他000009,13,"理  事",楊棟城
092法登他000009,14,"理  事",劉炳森
092法登他000009,15,"理  事",邱顯銘
092法登他000009,16,常務監事,呂隆成
092法登他000009,17,"監  事",吳月雲
092法登他000009,18,"監  事",李志平
092法登他000009,19,"監  事",簡麗珠
092法登他000009,20,"監  事",連敏君
092法登他000010,1,董事長,黃新松
092法登他000010,2,"董  事",林佾康
092法登他000010,3,"董  事",黃陳靜美
092法登他000010,4,"董  事",倪成彬
092法登他000010,5,"董  事",巫綤旭
092法登他000010,6,"董  事",劉廷英
092法登他000010,7,"董  事",林久翔
092法登他000010,8,"董  事",謝阿蘭
092法登他000010,9,"董  事",呂榮泉
092法登他000010,10,"董  事",劉炳輝
092法登他000010,11,"董  事",饒奇明
092法登他000011,1,董事長,"王　文  貴"
092法登他000011,2,"董  事","王  賢  國"
092法登他000011,3,"董  事","李  文  禎"
092法登他000011,4,"董  事","劉  建  欽"
092法登他000011,5,"董  事","賴  國  華"
092法登他000011,6,"董  事","劉  春  光"
092法登他000011,7,"董  事","陳  忠  誠"
092法登他000011,8,監察人,"王  賢  火"
092法登他000011,9,監察人,"何  怡  恬"
092法登他000012,1,董事長,羅培焜
092法登他000012,2,"董  事",呂大衛
092法登他000012,3,"董  事",吳榮光
092法登他000012,4,"董  事",葉錦堂
092法登他000012,5,"董  事",林德育
092法登他000012,6,"董  事",林明松
092法登他000012,7,"董  事",管增忠
092法登他000012,8,"董  事",杜金發
092法登他000012,9,"董  事",吳昭興
092法登他000014,1,董事長,張季仁
092法登他000014,2,"董  事",陳嘉強
092法登他000014,3,"董  事",朱文乾
092法登他000014,4,"董  事",許惠智
092法登他000014,5,"董  事",陳靜芝
092法登他000015,1,董事長,涂成昌
092法登他000015,2,"董  事",蕭天來
092法登他000015,3,"董  事",謝麟輝
092法登他000015,4,"董  事",湛鴻森
092法登他000015,5,"董  事",王雲寶
092法登他000015,6,"董  事",連乾輝
092法登他000015,7,"董  事",許國珊
092法登他000015,8,"董  事",蕭新德
092法登他000015,9,"董  事",張香蘭
092法登他000015,10,常務監事,涂錦福
092法登他000015,11,"監  事",徐輝忠
092法登他000015,12,"監  事",邱鼎發
092法登他000016,1,董事長,陳廖照雲
092法登他000016,2,常務董事,黃寶釵
092法登他000016,3,常務董事,許悅玟
092法登他000016,4,常務董事,詹秀珠
092法登他000016,5,"董  事",黃陳秀梅
092法登他000016,6,"董  事",謝淑珍
092法登他000016,7,"董  事",莊玉瑱
092法登他000016,8,"董  事",林貴幸
092法登他000016,9,"董  事",賴春蘭
092法登他000017,1,"理 事 長",陳瑞彬
092法登他000017,2,常務理事,黃坤銘
092法登他000017,3,常務理事,陳明德
092法登他000017,4,"理  事",廖進煒
092法登他000017,5,"理  事",李勳忠
092法登他000017,6,"理  事",黃德標
092法登他000017,7,"理  事",柯明進
092法登他000017,8,"理  事",陳瑞榮
092法登他000017,9,"理  事",羅松豐
092法登他000017,10,常務監事,張寅彬
092法登他000017,11,"監  事",陳國宏
092法登他000017,12,"監  事",黃德安
092法登他000018,1,董事長,戴琦霞
092法登他000018,2,"董  事",劉成基
092法登他000018,3,"董  事",黃漢發
092法登他000018,4,"董  事",胡永泉
092法登他000018,5,"董  事",郭麗群
092法登他000018,6,"董  事",葉聰哲
092法登他000018,7,"董  事",邱素雅
092法登他000018,8,"董  事","徐  昇"
092法登他000018,9,"董  事",王德源
092法登他000019,1,董事長,戴義勳
092法登他000019,2,"董  事",戴楊淑珠
092法登他000019,3,"董  事",鄭新教
