登記案號,序號,職稱,姓名
095法登他000001,1,"理 事 長",林同志
095法登他000001,2,常務理事,呂慶林
095法登他000001,3,常務理事,徐世隆
095法登他000001,4,"理    事",張振福
095法登他000001,5,常務理事,陳富笙
095法登他000001,6,"理    事",洪光呈
095法登他000001,7,"理    事","羅 ? 淳"
095法登他000001,8,常務理事,陳宗仁
095法登他000001,9,"理    事",吳香瑾
095法登他000001,10,"理    事",陳柏勻
095法登他000001,11,"理    事",涂竣智
095法登他000001,12,"理    事",羅雍熙
095法登他000001,13,"理    事",許浚構
095法登他000001,14,"理    事",張添和
095法登他000001,15,"理    事",高堂熙
095法登他000001,16,"理    事",謝馥禧
095法登他000001,17,"理    事",許通訓
095法登他000001,18,常務監事,戴銓呈
095法登他000001,19,"監    事",張銓寀
095法登他000001,20,"監    事",郭碧霞
095法登他000002,1,董事長,李靖國
095法登他000002,2,"董  事",黃平春
095法登他000002,3,"董  事",張進德
095法登他000002,4,"董  事",盧松山
095法登他000002,5,"董  事",林淑貞
095法登他000002,6,"董  事",黃平秋
095法登他000002,7,"董  事",林平菱
095法登他000003,1,"董 事 長",蘇進源
095法登他000003,2,常務董事,陳振邦
095法登他000003,3,常務董事,"周  榮"
095法登他000003,4,常務董事,王丁進
095法登他000003,5,常務董事,吳大成
095法登他000003,6,常務董事,柯見昔
095法登他000003,7,常務董事,林英妝
095法登他000003,8,"董    事",魏秀芳
095法登他000003,9,"董    事",毛俊生
095法登他000003,10,"董    事",郭金田
095法登他000003,11,"董    事",許景星
095法登他000003,12,"董    事",馮蜀蓉
095法登他000003,13,"董    事",蔡水祥
095法登他000003,14,"董    事",陳麗華
095法登他000003,15,"董    事",劉紹楨
095法登他000003,16,"董    事",連介尹
095法登他000003,17,"董    事",張寶珠
095法登他000003,18,"董    事",謝來順
095法登他000003,19,"董    事",鄭瓔鑫
095法登他000003,20,"董    事",宋美馨
095法登他000003,21,"董    事",翁南濱
095法登他000004,1,董事長,黃金葉
095法登他000004,2,"董  事",孫露華
095法登他000004,3,"董  事",黃榮賢
095法登他000004,4,"董  事",許瑞永
095法登他000004,5,"董  事",林明賬
095法登他000004,6,"董  事",沈同來
095法登他000004,7,"董  事",林文德
095法登他000005,1,董事長,"蕭 鉉晁"
095法登他000005,2,"董  事","曾 琦?"
095法登他000005,3,"董  事","吳 金 寶"
095法登他000005,4,"董  事",戴銓呈
095法登他000005,5,"董  事",陳昱興
095法登他000005,6,"董  事","陳 宗 仁"
095法登他000005,7,"董  事","洪 光 呈"
095法登他000005,8,"董  事","陳 重 全"
095法登他000005,9,"董  事","謝 宗 桔"
095法登他000005,10,"董  事","李 景 明"
095法登他000005,11,"董  事","孔 清 本"
095法登他000005,12,"董  事","戴 熙 谷"
095法登他000005,13,"董  事","朱 希 炎"
095法登他000005,14,"董  事","郭 達 霖"
095法登他000005,15,"董  事","余 貫 銓"
095法登他000005,16,"董  事","高 媐 綺"
095法登他000005,17,"董  事","陳 映 璇"
095法登他000005,18,"董  事","王 玉 崑"
095法登他000005,19,"董  事","鄭 喜 恬"
095法登他000005,20,"監  事","呂 鈺 笙"
095法登他000005,21,"監  事","許 浚構"
095法登他000005,22,"監  事",鄭馥籍
095法登他000006,1,"董  事",劉婷玉
095法登他000006,2,"董  事",毛壽化
095法登他000006,3,"董  事",陳惠敏
095法登他000006,4,"董  事",陳淑慧
095法登他000006,5,"董  事",施信安
095法登他000006,6,"董  事",洪兆雄
095法登他000006,7,"董  事",張簡文銓
095法登他000006,9,"董  事",林芸香
095法登他000006,10,"董  事",蔡森郎
095法登他000006,11,"董  事",陳國俊
095法登他000006,12,"董  事",毛文珍
095法登他000006,13,"董  事",鄭君榮
095法登他000006,14,"董  事",周再呈
095法登他000006,15,"董 事",林麗霏
095法登他000006,16,董事長,呂芳瑛
095法登他000006,17,"董 事",陳茂森
095法登他000006,18,"董  事",林懿賢
095法登他000007,1,董事長,"曹 世 亮"
095法登他000007,2,"董  事","吳 淑 惠"
095法登他000007,3,"董  事",朱謝靜華
095法登他000007,4,"董  事","文 憲 一"
095法登他000007,5,"董  事","曾 淑 惠"
095法登他000007,6,"董  事","謝 山 木"
095法登他000007,7,"董  事","王 淑 玲"
095法登他000008,1,"理  事",劉賜紅
095法登他000008,2,"理  事",陳梅
095法登他000008,3,常務理事,鄭燕玲
095法登他000008,4,常務理事,晏中凡
095法登他000008,5,"理  事",王月青
095法登他000008,6,"理  事",邱謝玟琴
095法登他000008,7,"理  事",張黃美玉
095法登他000008,8,"監  事","許 美 滿"
095法登他000008,9,"理  事",徐秀蕊
095法登他000008,10,常務監事,"曾 美 鳳"
095法登他000008,11,"監  事",胡王小燕
095法登他000008,12,理事長,許吳鳳雀
095法登他000009,1,董事長,單國璽
095法登他000009,2,"董  事",劉振忠
095法登他000009,3,"董  事",程肇陽
095法登他000009,4,"董  事",徐嘉雯
095法登他000009,5,"董  事",陳溫溫
095法登他000009,6,"董  事",趙怡莊
095法登他000009,7,"董  事",李復興
095法登他000009,8,"董  事",江綺雯
095法登他000009,9,"董  事",洪元明
095法登他000009,10,監察人,黃忠偉
095法登他000010,1,董事長,林朝家
095法登他000010,2,"董  事",賴晚鐘
095法登他000010,3,"董  事",林建中
095法登他000010,4,"董  事",林寬榮
095法登他000010,5,"董  事",洪水法
095法登他000010,6,"董  事",林益世
095法登他000010,7,"董  事",林寬碩
095法登他000010,9,"董  事",薛克旋
095法登他000010,11,"董  事",陳金雄
095法登他000011,1,董事長,"鄭 駿 源"
095法登他000011,2,"董  事",鄭林雪娥
095法登他000011,3,"董  事","林 淑 楓"
095法登他000011,4,"董  事","謝 敬 崇"
095法登他000011,5,"董  事","蘇 佳?"
095法登他000011,6,"董  事","李 金 盛"
095法登他000011,7,"董  事",李林海金
095法登他000011,8,"董  事","李 瑞 益"
095法登他000011,9,"董  事","林 鳳?"
095法登他000011,10,"董  事","陳 信 宏"
095法登他000011,11,"董  事","朱 奐 玫"
095法登他000011,12,"董  事","楊 宗 文"
095法登他000011,13,"董  事","洪 和 結"
095法登他000011,14,"董  事","吳 裕 民"
095法登他000011,15,"董  事","謝 俊 明"
095法登他000012,1,"董  事",謝碧然
095法登他000012,2,"董  事",吳振宗
095法登他000012,3,"董  事",劉家一
095法登他000012,4,董事長,許順良
095法登他000012,5,"董  事",謝忠義
095法登他000012,6,"董  事",陳銘顯
095法登他000012,7,"董  事",林振豊
095法登他000012,8,"董  事",林明進
095法登他000012,9,"董  事",洪連枝
095法登他000012,10,董　事,麥賢章
095法登他000012,11,董　事,郭玉青
095法登他000013,1,董事長,李振登
095法登他000013,2,"董  事",洪榮民
095法登他000013,3,"董  事",李育嘉
095法登他000013,4,"董  事",許萬林
095法登他000013,5,"董  事",施榮川
095法登他000013,6,"董  事",陳００
095法登他000013,7,"董  事",鍾佩賢
095法登他000013,8,"董  事",彭學聖
095法登他000013,9,"董  事",高?生
095法登他000014,1,董事長,"蔣  潔"
095法登他000014,2,"董  事",徐步台
095法登他000014,3,"董  事","徐  震"
095法登他000014,4,"董  事",梁漢民
095法登他000014,5,"董  事",段箕嘉
095法登他000014,6,"董  事",張同望
095法登他000014,7,"董  事",吳秋男
095法登他000014,8,"董  事",羅合全
095法登他000014,9,"董  事",吳明芳
095法登他000014,10,"董  事",吳明峰
095法登他000014,11,"董  事",吳寶珠
095法登他000014,12,"董  事",林美香
095法登他000014,13,"董  事",吳明德
095法登他000014,14,"董  事","陳  明"
095法登他000014,15,"董  事",王明獻
095法登他000015,1,董事長,"張 ? 紫"
095法登他000015,2,"董  事",賴永勳
095法登他000015,3,"董  事",辛錫璋
095法登他000015,4,"董  事",陳鴻鈞
095法登他000015,5,"董  事",鍾飲文
095法登他000015,6,"董  事",陳武宗
095法登他000015,7,"董  事",鍾昆原
095法登他000015,8,"董  事",王秀紅
095法登他000015,9,"董  事",陳政宏
095法登他000015,10,"董  事",陳百薰
095法登他000015,11,"董  事",宋銘興
095法登他000016,1,董事長,陳豊明
095法登他000016,2,董　事,蘇嘉雲
095法登他000016,3,董　事,許富
095法登他000016,4,董　事,蘇國城
095法登他000016,5,董　事,陳夜合
095法登他000016,6,監察人,陳麒麟
095法登他000017,1,董事長,林義守
095法登他000017,2,"董  事",林志龍
095法登他000017,3,"董  事",林宗慶
095法登他000017,4,"董  事",黃景聰
095法登他000017,5,"董  事",劉成居
095法登他000017,6,"董  事",黃俊雄
095法登他000017,7,"董  事",黃培特
095法登他000017,8,"董  事",賴和興
095法登他000017,9,"董  事",陳欽博
095法登他000018,1,"理 事 長",陳巨擘
095法登他000018,2,常務理事,何青蓉
095法登他000018,5,理　事,鄭親憲
095法登他000018,7,常務理事,陳銘彬
095法登他000018,9,監　事,李明華
095法登他000018,13,理　事,鍾孔炤
095法登他000018,17,監　事,陳三兒
095法登他000018,18,監　事,趙煒銘
095法登他000018,19,常務理事,張金玉
095法登他000018,20,常務理事,許長謨
095法登他000018,21,理　事,李賢華
095法登他000018,22,理　事,蕭靜雯
095法登他000018,23,理　事,許美玲
095法登他000018,24,理　事,黃暉榮
095法登他000018,25,理　事,洪仁欽
095法登他000018,26,理　事,蔡惠男
095法登他000018,27,理　事,劉哲雄
095法登他000018,28,理　事,孫曼玲
095法登他000018,29,常務監事,蔡秀鶯
095法登他000018,30,監　事,江孟霖
095法登他000019,1,董事長,張光雄
095法登他000019,2,常務董事,蔡義弘
095法登他000019,3,常務董事,吳信隆
095法登他000019,4,常務董事,林正民
095法登他000019,5,常務董事,李謀進
095法登他000019,6,常務董事,李炳鈺
095法登他000019,7,常務董事,林清泰
095法登他000019,8,"董  事",陳益昇
095法登他000019,9,"董  事",林忠男
095法登他000019,10,"董  事",陳慶田
095法登他000019,11,董　事,陳裕清
095法登他000019,12,"董  事",梁明聖
095法登他000019,13,"董  事",邵長榮
095法登他000019,14,"董  事",姚文杰
095法登他000019,15,"董  事",吳國男
095法登他000019,16,"董  事",鄭志雄
095法登他000019,17,"董  事",李志恒
095法登他000019,18,董　事,呂東富
095法登他000019,19,"董  事",吳秀美
095法登他000019,20,"董  事",黃耀斌
095法登他000019,21,"董  事",吳寶珠
095法登他000020,1,董事長,劉蘇春燕
095法登他000020,2,"董  事",謝洪美絨
095法登他000020,3,"董  事",方麗月
095法登他000020,4,"董  事",謝進來
095法登他000020,5,"董  事",林依儒
095法登他000020,6,"董  事",劉毓如
095法登他000020,7,"董  事",魏蘇春桃
095法登他000020,8,"董  事",劉家妏
095法登他000020,9,"董  事",鄭智遠
095法登他000020,10,"董  事",劉棋峰
095法登他000020,11,"董  事",陳宗志
095法登他000021,1,董事長,謝文喜
095法登他000021,2,"董  事",黃國英
095法登他000021,3,"董  事",劉秋梅
095法登他000021,4,"董  事",沈乃壽
095法登他000021,5,"董  事",周攝民
095法登他000021,6,"董  事",洪志明
095法登他000021,7,"董  事",蕭新助
095法登他000021,8,"董  事",黃西井
095法登他000021,9,"董  事",林文石
095法登他000022,1,董事長,"徐 昌 齡"
095法登他000022,2,"董  事","洪 平 森"
095法登他000022,3,"董  事","洪 再 德"
095法登他000022,4,"董  事","翁 仁 政"
095法登他000022,5,"董  事","陳 榮 華"
095法登他000022,6,"董  事","黃 阿 枝"
095法登他000022,7,"董  事","黃 麗 姿"
095法登他000022,8,"董  事","莊 妙 芳"
