登記案號,序號,職稱,姓名
104法登他000001,2,理　事,李秉宏
104法登他000001,4,常務監事,陳林美鸞
104法登他000001,7,理　事,謝長祿
104法登他000001,11,常務理事,鍾睿哲
104法登他000001,13,理　事,龔育儀
104法登他000001,14,理　事,薛全勝
104法登他000001,17,理　事,張素華
104法登他000001,22,監　事,李秀珍
104法登他000001,23,常務理事,楊俊昌
104法登他000001,24,監　事,龔靖惠
104法登他000001,27,理事長,陳勇志
104法登他000001,31,理　事,陳甘耀
104法登他000002,1,董事長,呂新民
104法登他000002,2,常務董事,邱澄朗
104法登他000002,3,董　事,邱金城
104法登他000002,4,董　事,邱顯揚
104法登他000002,5,董　事,呂理全
104法登他000002,6,常務董事,邱垂昱
104法登他000002,7,董　事,邱凱彬
104法登他000002,8,董　事,吳嘉仁
104法登他000002,9,董　事,吳嘉炳
104法登他000002,11,董　事,邱志欽
104法登他000002,12,董　事,黃群超
104法登他000002,13,常務董事,黃武德
104法登他000002,14,董　事,黃鉦堯
104法登他000002,15,常務董事,黃宗雍
104法登他000002,16,董　事,劉俊雄
104法登他000003,1,董　事,蔡永芳
104法登他000003,2,常務董事,楊崑爵
104法登他000003,3,常務董事,邱廣文
104法登他000003,5,董事長,徐熙楷
104法登他000003,6,常務董事,林禮忠
104法登他000003,7,常務董事,蔡聖賢
104法登他000003,8,常務董事,朱瑞榮
104法登他000003,9,董　事,李紘駐
104法登他000003,10,常務董事,黃金福
104法登他000003,11,董　事,邱明村
104法登他000003,12,董　事,趙正宇
104法登他000003,13,董　事,柯清貴
104法登他000003,14,董　事,黃文良
104法登他000003,15,董　事,劉信通
104法登他000003,17,董　事,蔡昆龍
104法登他000003,18,董　事,王志誠
104法登他000003,20,董　事,朱碧美
104法登他000003,21,董　事,彭賢德
104法登他000003,22,董　事,陳耀東
104法登他000003,23,董　事,賴安莉
104法登他000003,24,董　事,王註源
104法登他000004,1,董事長,陳家祥
104法登他000004,3,董　事,張紹隆
104法登他000004,4,董　事,余奕昊
104法登他000004,5,董　事,彭聖育
104法登他000004,6,董　事,林盛煉
104法登他000005,1,董事長,蘇星輝
104法登他000005,2,董　事,王廣亞
104法登他000005,4,董　事,許富美
104法登他000005,5,董　事,蔡國財
104法登他000005,7,董　事,張國泰
104法登他000005,8,董　事,張細熊
104法登他000005,9,董　事,陳月裡
104法登他000005,10,董　事,王長強
104法登他000005,11,董　事,林麗紋
104法登他000005,12,監察人,林桂卿
104法登他000006,1,董事長,謝秀琴
104法登他000006,2,董　事,陳啟蒼
104法登他000006,4,董　事,胡金松
104法登他000006,5,董　事,蔡顯宗
104法登他000006,6,董　事,林燦榮
104法登他000006,7,董　事,劉連成
104法登他000007,2,董事長,陳唐義梅
104法登他000007,3,董　事,陳其成
104法登他000007,4,董　事,謝文和
104法登他000007,5,董　事,楊那榮
104法登他000007,6,董　事,林錦玉
104法登他000007,7,董　事,曾翔瑜
104法登他000007,8,董　事,劉月莉
104法登他000008,1,董事長,林再錦
104法登他000008,2,董　事,姚武年
104法登他000008,3,董　事,"陳  榜"
104法登他000008,4,董　事,謝優吉
104法登他000008,5,董　事,陳薇郎
104法登他000008,6,董　事,謝遠智
104法登他000008,7,董　事,陳幼枝
104法登他000008,8,董　事,林貴美
104法登他000008,9,董　事,童貴妹
104法登他000008,10,董　事,林昇樂
104法登他000008,11,董　事,葉雲鏞
104法登他000008,12,董　事,廖俊迪
104法登他000008,13,董　事,王金鑾
104法登他000008,14,董　事,蔡美枝
104法登他000008,15,董　事,陳有財
104法登他000008,16,董　事,林紀純
104法登他000008,17,董　事,劉金河
104法登他000009,1,理事長,周永燦
104法登他000009,2,常務理事,王文芝
104法登他000009,3,理　事,李偉正
104法登他000009,4,副理事長,游宗穎
104法登他000009,6,理　事,王建中
104法登他000009,7,理　事,王文中
104法登他000009,8,理　事,陳明哲
104法登他000009,9,理　事,楊梅雀
104法登他000009,10,監　事,鄭建鑫
104法登他000009,14,理　事,鄭淑萍
104法登他000009,17,常務監事,游添旺
104法登他000009,19,監　事,游振順
104法登他000010,2,理　事,歐恩仁
104法登他000010,3,理　事,簡芳梅
104法登他000010,4,理　事,陳進文
104法登他000010,5,理事長,鍾錫孝
104法登他000010,7,理　事,顧彭春敏
104法登他000010,8,理　事,王長屏
104法登他000010,9,常務監事,龍治平
104法登他000010,10,理　事,徐惠女
104法登他000010,11,理　事,張英泰
104法登他000010,12,監　事,陳澄雄
104法登他000010,13,理　事,陳立翔
104法登他000010,14,監　事,黃梅青
104法登他000011,1,董事長,馬世澤
104法登他000011,2,董　事,蔡清泉
104法登他000011,3,董　事,莊晨
104法登他000011,4,董　事,莊曼
104法登他000011,5,董　事,周杰之
104法登他000011,6,董　事,莊凱旋
104法登他000011,7,監察人,張大華
104法登他000011,8,董　事,陳之凡
104法登他000011,9,董　事,劉顯仲
104法登他000011,10,董　事,陳恆中
104法登他000012,1,董事長,趙厚魁
104法登他000012,2,常務董事,吳上賓
104法登他000012,3,常務董事,謝呂泉
104法登他000012,4,常務董事,陳金蓮
104法登他000012,5,常務董事,黃敬德
104法登他000012,6,董　事,賴芳泉
104法登他000012,7,董　事,陳水國
104法登他000012,8,董　事,高河炎
104法登他000012,9,董　事,金宏暢
104法登他000012,10,董　事,劉思遠
104法登他000012,11,董　事,葉早發
104法登他000012,12,董　事,何三平
104法登他000012,13,董　事,潘日南
104法登他000012,14,常務監察人,楊炯浩
104法登他000012,15,監察人,汪宗仁
104法登他000012,16,監察人,劉熒隆
104法登他000013,1,董　事,王文淵
104法登他000013,2,董　事,王文潮
104法登他000013,3,董　事,吳德朗
104法登他000013,4,董　事,王瑞瑜
104法登他000013,5,董　事,洪福源
104法登他000013,6,董　事,王正儀
104法登他000013,7,董　事,吳嘉昭
104法登他000013,8,董　事,林奏延
104法登他000013,9,董　事,陳昱瑞
104法登他000013,10,董　事,翁文能
104法登他000013,11,董　事,傅陳卿
104法登他000013,12,董　事,陳徹
104法登他000013,13,監察人,黃銘隆
104法登他000013,14,董　事,蘇啟邑
104法登他000013,15,董事長,楊定一
104法登他000013,16,董　事,林健男
104法登他000014,1,"董  事",吳政倫
104法登他000014,2,常務董事,蔡健旺
104法登他000014,3,常務董事,李明宗
104法登他000014,4,常務董事,陳家欽
104法登他000014,5,"董  事",張作樑
104法登他000014,6,常務董事,徐春男
104法登他000014,7,"董  事",林靜婷
104法登他000014,8,"董  事",呂金培
104法登他000014,9,"董  事",劉淑惠
104法登他000014,10,"董  事",陳智聰
104法登他000014,11,董事長,王信夫
104法登他000014,12,"董  事",莊正忠
104法登他000014,13,"董  事",張聰致
104法登他000014,14,"董  事",張淑君
104法登他000014,15,"董  事",曾文信
104法登他000015,1,董　事,劉湘櫻
104法登他000015,2,常務董事,林桂鳳
104法登他000015,3,常務董事,張榮光
104法登他000015,4,常務董事,羅鳳珠
104法登他000015,5,常務董事,葉斯水
104法登他000015,6,常務董事,蔡鴻基
104法登他000015,7,董事長,謝美慧
104法登他000015,8,常務董事,林森祺
104法登他000015,9,董　事,楊青山
104法登他000015,10,董　事,林鈴慈
104法登他000015,12,董　事,蔣一玲
104法登他000015,13,董　事,陳榮康
104法登他000015,16,董　事,張琪玲
104法登他000015,17,董　事,彭聖育
104法登他000015,19,董　事,黎傳發
104法登他000016,1,董事長,許金屯
104法登他000016,2,董　事,蔡澍勲
104法登他000016,3,董　事,劉家順
104法登他000016,4,董　事,張文釧
104法登他000016,5,董　事,許文華
104法登他000016,6,董　事,李厚學
104法登他000016,7,董　事,張日章
104法登他000016,8,董　事,謝明政
104法登他000016,9,董　事,邱美裡
104法登他000016,10,監察人,林意欽
104法登他000016,11,監察人,賴振章
104法登他000016,12,監察人,賴昭男
104法登他000017,1,董　事,林坤龍
104法登他000017,2,常務董事,葉金生
104法登他000017,3,常務董事,林盛基
104法登他000017,4,董　事,賴慶榮
104法登他000017,5,常務董事,張紹團
104法登他000017,6,常務董事,林華堃
104法登他000017,7,董　事,吳慶照
104法登他000017,8,董　事,陳道光
104法登他000017,9,董　事,高凱林
104法登他000017,10,常務董事,林華山
104法登他000017,11,董事長,陳萬松
104法登他000017,12,董　事,徐清鈞
104法登他000017,13,董　事,呂培元
104法登他000017,14,董　事,曾德信
104法登他000017,15,常務董事,陳政元
104法登他000017,16,董　事,江增偉
104法登他000017,17,常務董事,黃貴雄
104法登他000017,18,董　事,江增華
104法登他000017,19,董　事,陳玲慧
104法登他000018,1,理事長,王曾素娥
104法登他000018,2,常務理事,楊彩珠
104法登他000018,3,副理事長,蔡許玉蓉
104法登他000018,4,理　事,賴春蘭
104法登他000018,5,理　事,李文明
104法登他000018,6,理　事,賴許玉善
104法登他000018,7,理　事,陳王玉春
104法登他000018,8,理　事,林梁富美
104法登他000018,9,監　事,許李婉薇
104法登他000018,10,常務監事,王廖素琴
104法登他000018,11,監　事,楊劉杏真
104法登他000018,12,理　事,許邱阿有
104法登他000019,1,董事長,王亞賢
104法登他000019,2,常務董事,黃金土
104法登他000019,3,董　事,邱正剛
104法登他000019,4,董　事,張定忠
104法登他000019,5,常務董事,盧南志
104法登他000019,6,常務董事,黃昕婷
104法登他000019,7,常務董事,詹前貫
104法登他000019,8,常務董事,陳湯美妹
104法登他000019,9,董　事,吳啓明
104法登他000019,10,董　事,李應詠
104法登他000019,11,董　事,李雅妍
104法登他000019,12,董　事,薛常輝
104法登他000019,13,常務董事,徐慧芳
104法登他000019,14,常務董事,葉娟娟
104法登他000019,15,董　事,温金莉
104法登他000021,1,董事長,黃慶宗
104法登他000021,2,常務董事,吳啟銘
104法登他000021,3,董　事,邱淑慎
104法登他000021,4,常務董事,呂紹德
104法登他000021,5,常務董事,呂紹貿
104法登他000021,6,董　事,黃春子
104法登他000021,7,董　事,黃政得
104法登他000021,8,常務董事,呂宗聖
104法登他000021,9,董　事,康廷輝
104法登他000021,10,董　事,呂宏仁
104法登他000021,11,董　事,孫明文
104法登他000021,12,董　事,邱顯信
104法登他000021,13,董　事,呂清河
104法登他000021,14,常務董事,黃文錦
104法登他000021,15,董　事,陳火樹
104法登他000022,1,董事長,丁麗梅
104法登他000022,2,董　事,李愛芳
104法登他000022,3,董　事,朱冬娥
104法登他000022,4,董　事,林宗竭
104法登他000022,5,董　事,魏小紅
104法登他000023,1,董事長,吳運東
104法登他000023,2,董　事,黃炳嘉
104法登他000023,3,董　事,黃文麗
104法登他000023,4,董　事,陳美惠
104法登他000023,5,董　事,蕭惠文
104法登他000023,6,董　事,林郭清秀
104法登他000023,7,董　事,陳美宏
104法登他000023,8,董　事,吳卓映
104法登他000023,9,董　事,吳虹映
104法登他000024,1,董事長,陳忠正
104法登他000024,2,董　事,蕭寶蓮
