登記案號,序號,職稱,姓名
114法登他000001,1,董　事,王明隆
114法登他000001,2,董　事,李明憲
114法登他000001,3,董　事,徐立群
114法登他000001,4,董　事,莊金陵
114法登他000001,5,董　事,郭海濱
114法登他000001,6,董　事,方奕盛
114法登他000001,7,董　事,施坤宏
114法登他000001,8,董事長,黃華瑋
114法登他000001,9,董　事,簡金成
114法登他000001,10,董　事,謝喻婷
114法登他000001,11,董　事,劉武泰
114法登他000001,12,董　事,林軒竹
114法登他000001,13,董　事,劉梧柏
114法登他000001,14,董　事,邱正仁
114法登他000001,15,董　事,林世淇
114法登他000001,16,董　事,蕭惠鈺
114法登他000001,17,董　事,廖鴻儒
114法登他000002,1,董　事,蔣麗祝
114法登他000002,2,董　事,林睦雄
114法登他000002,3,董　事,白世義
114法登他000002,4,董　事,江信慈
114法登他000002,5,董　事,黃琬珺
114法登他000002,6,董　事,陳佩宜
114法登他000002,7,董　事,李佳明
114法登他000002,8,董　事,彭安琦
114法登他000002,9,董　事,郭美杏
114法登他000002,10,董　事,蔡玉敏
114法登他000002,11,董　事,邱靜玫
114法登他000002,12,董　事,葉雅娜
114法登他000002,13,董　事,吳明漢
114法登他000002,14,董事長,劉月娥
114法登他000002,15,董　事,周淑慧
114法登他000002,16,董　事,蔡安祿
114法登他000002,17,董　事,机嘉勝
114法登他000003,1,董事長,黃明泰
114法登他000003,2,董　事,蔡素芬
114法登他000003,3,董　事,黃潔雨
114法登他000003,4,董　事,張素玲
114法登他000003,5,董　事,屠穎
114法登他000003,6,董　事,徐鳳英
114法登他000003,7,董　事,藍春綢
114法登他000003,8,董　事,張玉秋
114法登他000003,9,董　事,陳宗獻
114法登他000003,10,董　事,董雪華
114法登他000003,11,董　事,陳俊吉
114法登他000003,12,監察人,劉維娟
114法登他000003,13,監察人,吳永珍
114法登他000003,14,監察人,林溢源
114法登他000004,1,理事長,官小萩
114法登他000004,2,常務理事,劉安琪
114法登他000004,3,常務理事,馬悟敏
114法登他000004,4,理　事,林文淵
114法登他000004,5,理　事,楊彩霞
114法登他000004,6,理　事,王意宏
114法登他000004,7,理　事,陳鳳珠
114法登他000004,8,理　事,林金燕
114法登他000004,9,理　事,戴均融
114法登他000004,10,常務監事,王淑芬
114法登他000004,11,監　事,詹宗學
114法登他000004,12,監　事,楊欣瑋
