登記案號,序號,職稱,姓名
115法登他000001,1,董事長,劉吉雄
115法登他000001,2,"董  事",陳秀
115法登他000001,3,"董  事",蔡玲玉
115法登他000001,4,"董  事",梁秀花
115法登他000001,5,"董  事",洪惠敏
115法登他000001,6,"董  事",郭珮菁
115法登他000001,7,"董  事",李采瑜
115法登他000001,8,,
115法登他000001,9,第4屆,任期
115法登他000002,1,理事長,賴樹立
115法登他000002,2,常務理事,黃雪香
115法登他000002,3,常務理事,董東尼
115法登他000002,4,理　事,葉晋玉
115法登他000002,5,理　事,簡信男
115法登他000002,6,理　事,陳明國
115法登他000002,7,理　事,魏惠伶
115法登他000002,8,理　事,康靜娟
115法登他000002,9,理　事,方信淵
115法登他000002,10,理　事,謝惠玲
115法登他000002,11,理　事,趙傳榮
115法登他000002,12,常務監事,陳柏守
115法登他000002,13,監　事,楊宏羣
115法登他000002,14,監　事,謝宗燁
115法登他000002,15,,
115法登他000002,16,第8屆,任期
115法登他000003,1,董　事,胡宇正
115法登他000003,2,董　事,劉少春
115法登他000003,3,董　事,魏宏恩
115法登他000003,4,董　事,江澈
115法登他000003,5,董　事,吳鈺芳
115法登他000003,6,董　事,康淵
115法登他000003,7,董　事,曾迎新
115法登他000003,8,董事長,江潭
115法登他000003,9,董　事,劉廷揚
115法登他000003,10,監察人,曾俊傑
115法登他000003,11,第19屆,董事任期
115法登他000003,12,第4屆,監察人任期
115法登他000003,13,,
115法登他000004,1,"理　  事",張盛良
115法登他000004,2,"理　  事",鄭茹穗
115法登他000004,3,常務理事,蘇榮茂
115法登他000004,4,"理　  事",施素梅
115法登他000004,5,理　事,陳世傑
115法登他000004,6,理　事,謝麗華
115法登他000004,7,理　事,蔡佩玲
115法登他000004,8,監　事,黃琇霞
115法登他000004,9,理　事,張家愷
115法登他000004,10,常務監事,羅余清涼
115法登他000004,11,監　事,董蔡愫霞
115法登他000004,12,理事長,謝劉美娥
115法登他000004,13,"理　  事",林美蘭
115法登他000004,14,常務理事,張榮州
115法登他000004,15,理　事,蔡依儒
115法登他000004,16,理　事,黃芳蘭
115法登他000004,17,常務理事,方修強
115法登他000004,18,常務理事,竺翼飛
115法登他000004,19,監　事,蔡惠茹
115法登他000004,20,監　事,張宴菁
115法登他000004,21,第14屆,任期
115法登他000004,22,,
115法登他000005,1,常務董事,賴國棟
115法登他000005,2,常務董事,曾奕楷
115法登他000005,3,董事長,趙秀娟
115法登他000005,4,常務董事,林錦定
115法登他000005,5,董　事,楊晴雯
115法登他000005,6,董　事,蕭淑真
115法登他000005,7,董　事,陳碧琴
115法登他000005,8,董　事,陳玉珍
115法登他000005,9,董　事,劉麗惠
115法登他000005,10,董　事,王重凱
115法登他000005,11,董　事,鄭代進
115法登他000005,12,董　事,楊發強
115法登他000005,13,董　事,陳世佑
115法登他000005,14,常務董事,鄭添原
115法登他000005,15,董　事,胡鳳嬌
115法登他000005,16,監　事,戴立佳
115法登他000005,17,常務監事,曾韋傑
115法登他000005,18,監　事,游淑惠
115法登他000005,19,監　事,黃純芳
115法登他000005,20,監　事,劉憶瑩
115法登他000005,21,第20屆,任期
115法登他000005,22,,
115法登他000006,1,理　事,葛清榮
115法登他000006,2,理　事,戴慶泉
115法登他000006,3,理　事,林森松
115法登他000006,4,常務理事,蘇河山
115法登他000006,5,理　事,葉韓榮
115法登他000006,6,理　事,劉美侃
115法登他000006,7,理　事,許林美麗
115法登他000006,8,理事長,林水色
115法登他000006,9,監　事,閻秀珍
115法登他000006,10,監　事,陳錦枝
115法登他000006,11,常務理事,黃國禎
115法登他000006,12,常務監事,朱有柯
115法登他000006,13,,
115法登他000006,14,第22屆,任期
115法登他000007,1,常務理事,張木藤
115法登他000007,2,理　事,詹敏亨
115法登他000007,3,理　事,潘秀梅
115法登他000007,4,監　事,陳玉成
115法登他000007,5,常務監事,孔祥麒
115法登他000007,6,理　事,黃怡心
115法登他000007,7,理　事,張良宇
115法登他000007,8,理　事,黃滄憲
115法登他000007,9,理事長,吳紅昌
115法登他000007,10,理　事,楊吉春
115法登他000007,11,監　事,黃麗鳳
115法登他000007,12,常務理事,陳泰延
115法登他000007,13,第12屆,任期
115法登他000007,14,,
115法登他000008,1,董　事,蘇莊淑美
115法登他000008,2,董　事,余政道
115法登他000008,3,董　事,梁宇器
115法登他000008,4,董　事,楊勝因
115法登他000008,5,董　事,陳芝殷
115法登他000008,6,董　事,林富香
115法登他000008,7,董事長,陳德松
115法登他000008,8,董　事,黃泰元
115法登他000008,9,董　事,李芳俞
115法登他000008,10,董　事,洪海淞
115法登他000008,11,董　事,黃楹棟
115法登他000008,12,監察人,陳惠珍
115法登他000008,13,第15屆,任期
115法登他000008,14,,
115法登他000008,15,第3屆,監察人任期
115法登他000009,1,監察人,王正嘉
115法登他000009,2,董　事,劉振忠
115法登他000009,3,董　事,丁健原
115法登他000009,4,董　事,蘇耀文
115法登他000009,5,董　事,李嘉紘
115法登他000009,6,董　事,于乃鳳
115法登他000009,7,董　事,沈明室
115法登他000009,8,董事長,王彩俶
115法登他000009,9,董　事,許華英
115法登他000009,10,董　事,劉巨烘
115法登他000009,11,董　事,李天行
115法登他000009,12,董　事,陳昭德
115法登他000009,13,董　事,黃天麒
115法登他000009,14,董　事,古崇孝
115法登他000009,15,,
115法登他000009,16,第18屆,董事任期
115法登他000009,17,第4屆,監察人任期
115法登他000010,1,董　事,陳建道
115法登他000010,2,董　事,王伊忱
115法登他000010,3,董　事,尤惠貞
115法登他000010,4,董　事,張文宇
115法登他000010,5,董　事,陳建宇
115法登他000010,6,董事長,陳建志
115法登他000010,7,董　事,蘇榮茂
115法登他000010,8,董　事,李惠娥
115法登他000010,9,董　事,賴文德
115法登他000010,10,監察人,吳佩燕
115法登他000010,11,董　事,魏福全
115法登他000010,12,董　事,許勝雄
115法登他000010,13,董　事,吳俊仁
115法登他000010,14,董　事,張瑛芝
115法登他000010,15,第20屆,董事任期
115法登他000010,16,,
115法登他000010,17,監察人,任期
115法登社000002,1,理事長,柯勝峯
115法登社000002,2,常務理事,李明芳
115法登社000002,3,常務理事,柯王淑媛
115法登社000002,4,理　事,柯宇峯
115法登社000002,5,理　事,蕭穗真
115法登社000002,6,理　事,柯光峯
115法登社000002,7,理　事,柯志達
115法登社000002,8,理　事,柯智翔
115法登社000002,9,理　事,柯志宜
115法登社000002,10,常務監事,周姿利
115法登社000002,11,監　事,丁胤宣
115法登社000002,12,監　事,陳慧玟
115法登社000002,13,,
115法登社000002,14,第1屆,任期
115法登社000003,1,理事長,傅宏智
115法登社000003,2,常務理事,張樺磐
115法登社000003,3,常務理事,廖宥傑
115法登社000003,4,理　事,林湘穎
115法登社000003,5,理　事,陳錡陞
115法登社000003,6,理　事,白棨銓
115法登社000003,7,理　事,張雯婷
115法登社000003,8,理　事,謝侑廷
115法登社000003,9,理　事,許詔怡
115法登社000003,10,常務監事,傅宏彬
115法登社000003,11,監　事,傅嘉真
115法登社000003,12,監　事,陳素瓊
115法登社000003,13,,
115法登社000003,14,第1屆,任期
