登記案號,序號,職稱,姓名
115法登他000001,1,董　事,周志誠
115法登他000001,2,董　事,劉興源
115法登他000001,4,董　事,黃信旺
115法登他000001,5,董　事,李淑貞
115法登他000001,6,董事長,林宗勇
115法登他000001,8,董　事,耿　晴
115法登他000001,9,董　事,黃柏棋
115法登他000001,12,董　事,林瑞蘭
115法登他000001,13,董　事,陳智立
115法登他000001,14,董　事,姚曼菁
115法登他000001,15,董　事,吳美華
115法登他000001,16,董　事,林永賢
115法登他000001,17,董　事,陳佳鴻
115法登他000001,18,董　事,黃光慧
115法登他000001,19,董　事,謝　笑
115法登他000002,1,董　事,林俊宏
115法登他000002,2,董　事,胡則華
115法登他000002,3,董　事,朱德芳
115法登他000002,4,監察人,李淑暖
115法登他000002,5,董　事,許政賢
115法登他000002,6,董　事,郭大維
115法登他000002,7,監察人,劉嘉雯
115法登他000002,8,董事長,張心悌
115法登他000002,9,董　事,林丙輝
115法登他000002,10,董　事,楊朝舜
115法登他000002,11,董　事,楊孟萍
115法登他000002,12,監察人,王全三
115法登他000002,13,董　事,林瑞珠
115法登他000002,14,董　事,簡宏明
115法登他000003,1,常務監察人,潘清鴻
115法登他000003,2,常務董事,陳佩利
115法登他000003,3,常務董事,李冠志
115法登他000003,4,常務董事,張嘉魁
115法登他000003,5,董事長,魏明谷
115法登他000003,7,董　事,蕭幸金
115法登他000003,9,董　事,房秀岱
115法登他000003,10,董　事,李育家
115法登他000003,12,監察人,李國忠
115法登他000003,16,董　事,李佳玲
115法登他000003,17,董　事,陳幼婉
115法登他000003,18,監察人,黃瓊慧
115法登他000003,19,監察人,陳志育
115法登他000003,21,董　事,吳騰彥
115法登他000003,22,常務董事,朱美麗
115法登他000003,24,董　事,陳家濬
115法登他000003,25,董　事,葉仁創
115法登他000003,26,監察人,楊淑卿
115法登他000004,1,理　事,辛年豐
115法登他000004,2,理事長,林木興
115法登他000004,3,理　事,吳佳潓
115法登他000004,4,理　事,簡凱倫
115法登他000004,5,監　事,凃又文
115法登他000004,6,理　事,丁俊和
115法登他000004,7,常務監事,張家瑋
115法登他000004,8,監　事,許嘉容
115法登他000004,9,常務理事,李益甄
115法登他000004,10,理　事,謝孟羽
115法登他000004,11,常務理事,林柏辰
115法登他000004,12,理　事,林春元
115法登他000004,13,理　事,吳磺慶
115法登他000004,15,理　事,黃郁揚
115法登他000004,16,常務理事,邱瑛琦
115法登他000004,17,理　事,朱芳君
115法登他000004,18,常務理事,張譽尹
115法登他000004,19,理　事,黃惠鈺
